Date,MaxT,MeanT,MinT,RH,AH,ph,sh,pm25,pm10,o3,no2,so2,co,Rain,V10mucomponentofwind_ind,V10mvcomponentofwind_ind,V2mdewpointtemperature_k,V2mtemperature_k,VLeafareaindexHIGH_ind,VLeafareaindexLOW_ind,VSurfacepressure_pa,VTotalprecipitation_m,WindSpeed_msminus1,WindDirection_deg,VaporPressure_kpa,SaturatedVaporPressure_kpa,AbsoluteHumidity_gmminus3,RelativeHumidity1_perc,RelativeHumidity2_perc,Cardiovascular disease,Chronic respiratory disease,Congenital Abnormalities,Diabetes mellitus,Digestive disease,Endocrine disorders,Factors influencing health status and contact with health services,Genitourinary disorders,Ill-defined diseases,Ill-defined injuries/accidents,Infectious and Parasitic Diseases,Intentional injuries,Malignant neoplasms,Maternal conditions,Mental disorders,Musculoskeletal disease,Neurological and sense disorders,Not Categorised,Nutritional deficiencies,Oral Diseases,Other neoplasms,Perinatal conditions,Respiratory Infection,Skin diseases,Unintentional injuries
2007-05-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,715.0,556.0,9.0,58.0,1152.0,168.0,141.0,546.0,2261.0,28.0,1162.0,157.0,96.0,43.0,63.0,665.0,680.0,122.0,37.0,54.0,21.0,71.0,3171.0,554.0,3136.0
2007-05-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,765.0,582.0,10.0,79.0,1218.0,160.0,138.0,521.0,2497.0,26.0,1254.0,198.0,84.0,31.0,68.0,778.0,699.0,119.0,27.0,51.0,10.0,85.0,3265.0,545.0,2930.0
2007-05-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,783.0,538.0,9.0,79.0,1248.0,171.0,137.0,531.0,2458.0,32.0,1228.0,205.0,66.0,25.0,58.0,723.0,698.0,108.0,31.0,51.0,11.0,76.0,3261.0,570.0,3022.0
2007-05-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,739.0,548.0,8.0,82.0,1267.0,177.0,134.0,499.0,2582.0,29.0,1259.0,186.0,82.0,34.0,61.0,763.0,660.0,106.0,23.0,49.0,11.0,67.0,3174.0,571.0,3084.0
2007-06-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,701.0,511.0,7.0,77.0,1222.0,188.0,104.0,516.0,2481.0,31.0,1326.0,185.0,72.0,37.0,50.0,689.0,707.0,143.0,35.0,56.0,11.0,83.0,2959.0,557.0,2992.0
2007-06-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,700.0,484.0,6.0,71.0,1174.0,167.0,108.0,495.0,2379.0,34.0,1246.0,172.0,90.0,22.0,64.0,658.0,623.0,110.0,32.0,58.0,11.0,64.0,2548.0,571.0,2950.0
2007-06-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,697.0,456.0,7.0,60.0,1100.0,166.0,119.0,507.0,2338.0,28.0,1294.0,202.0,78.0,22.0,53.0,636.0,640.0,114.0,25.0,54.0,12.0,64.0,2363.0,548.0,2968.0
2007-06-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,663.0,413.0,6.0,64.0,1128.0,148.0,109.0,516.0,2310.0,18.0,1280.0,185.0,77.0,30.0,57.0,656.0,574.0,119.0,27.0,56.0,9.0,63.0,2282.0,557.0,2890.0
2007-06-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,701.0,429.0,9.0,70.0,1134.0,142.0,139.0,549.0,2527.0,29.0,1296.0,173.0,85.0,20.0,62.0,645.0,608.0,115.0,40.0,39.0,10.0,52.0,2073.0,584.0,3162.0
2007-07-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,671.0,441.0,12.0,76.0,1201.0,162.0,167.0,494.0,2573.0,24.0,1345.0,185.0,85.0,26.0,62.0,636.0,651.0,138.0,37.0,37.0,18.0,79.0,2109.0,575.0,3184.0
2007-07-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,774.0,493.0,7.0,56.0,1206.0,152.0,151.0,518.0,2384.0,31.0,1248.0,176.0,74.0,23.0,67.0,638.0,665.0,116.0,37.0,38.0,11.0,71.0,1934.0,604.0,3265.0
2007-07-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,743.0,450.0,4.0,59.0,1207.0,171.0,133.0,551.0,2491.0,26.0,1197.0,175.0,86.0,24.0,65.0,665.0,553.0,123.0,35.0,41.0,9.0,86.0,1989.0,544.0,3238.0
2007-07-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,713.0,456.0,8.0,74.0,1226.0,166.0,102.0,452.0,2393.0,21.0,1178.0,166.0,90.0,21.0,45.0,652.0,628.0,116.0,32.0,45.0,14.0,71.0,1981.0,527.0,3141.0
2007-08-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,747.0,540.0,13.0,76.0,1292.0,184.0,127.0,498.0,2390.0,17.0,1428.0,171.0,95.0,19.0,54.0,637.0,686.0,99.0,38.0,47.0,8.0,59.0,2344.0,548.0,3154.0
2007-08-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,681.0,544.0,5.0,66.0,1216.0,164.0,160.0,453.0,2274.0,30.0,1197.0,169.0,94.0,27.0,53.0,617.0,682.0,115.0,23.0,63.0,16.0,85.0,2211.0,546.0,3172.0
2007-08-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,630.0,468.0,4.0,67.0,1112.0,146.0,119.0,472.0,2200.0,36.0,1245.0,158.0,89.0,23.0,53.0,612.0,630.0,101.0,34.0,51.0,10.0,76.0,1741.0,530.0,3234.0
2007-08-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,690.0,457.0,7.0,68.0,1125.0,137.0,135.0,506.0,2111.0,28.0,1088.0,185.0,99.0,32.0,65.0,630.0,682.0,116.0,33.0,51.0,10.0,78.0,1719.0,475.0,3252.0
2007-09-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,731.0,445.0,8.0,83.0,1090.0,141.0,106.0,515.0,2227.0,25.0,1077.0,132.0,79.0,22.0,61.0,627.0,671.0,119.0,34.0,35.0,10.0,81.0,1776.0,518.0,3230.0
